92.5	276.3	114	308.2	127.2	332.9																						
62.4	270.1	65.2	312	63.4	363.1	60.3	396.8	57.5	431.5																		
1	290.8	17.1	292.9																								
18.5	299.2	38.3	306.1	48.4	310.3																						
5.6	332.2	29.3	319.3	43.6	316.2	65	308.6																				
8	341.5	28.9	348.1	50.2	357.9																						
16	367.6	44.3	368.6	56.8	368.6																						
16	367.6	43.6	374.9	66.2	381.9	97.6	389.5	121	394.7	145.7	402.7	165.2	408.3														
16	367.6	12.9	366.9																								
26.1	394	51.6	404.8	74.2	412.1	96.2	416.9	118.2	419.4	162.5	423.5	194.5	425.3	229.1	428.1	253.1	429.8	261.2	426.8								
58.2	340.5	56.8	368.6																								
56.8	368.6	56.8	373.2																								
60.3	364.1	76	356.5	104.2	341.5	115.4	336.3																				
135.7	273	135.3	321.7	136.3	366.6	135.6	392.6	136.3	414.5	135.6	429.8	137	460.7	138.7	481.2												
48.4	415.9	67.3	417.3	83.7	417.6	102.5	417.6																				
40.4	409	59.1	411.5																								
61.3	431.5	86.4	430.1	96.9	430.8	109.1	432.2	124.9	434.5																		
104.8	440.2	126.9	442.7																								
70.1	445.4	91.3	445.1	108.1	446.8	116.1	447.9																				
83.7	454.1	98	450.6	116.1	447.9																						
116.1	447.9	145.7	440.2	157.9	435.9																						
113.6	471.8	137	460.7																								
128.3	455.9	137.3	464.5																								
31.4	375.9	52.3	397.1	72.5	414.5	85.1	424.9																				
79.5	426	93.8	436.4	105	443.3																						
72.8	420.1	88.2	422.2	99.3	422.5																						
118.2	419.4	126.9	415.9																								
106.3	418.1	117.5	414.2																								
159.3	420.4	190	419.4	211.3	421.1	233.6	423.2																				
183	437	208.1	432.2																								
157.6	451	186.2	453.8	207.1	456.6	226.6	457.9	240.9	461.4																		
194.5	272.2	195.9	304	195.9	347.5																						
